,ImageId,No. Mask,Otsu,"BW:1, Colour:0","class: colour=0, BW=1, BW/light=2",Dimension,IoU RW,IoU Ncut,IoU Felzen
0,212b858a66f0d23768b8e3e1357704fc2f4cf4bbe7eed8cd59b5d01031d553e6,100,0.13386182598039215,1,1,"(520, 696, 3)",0.0,0.0,0.1511016496414464
1,c169a7782a69ea2f38f64d2739de189e88adbcfd4a829721def8c89ecabe8b71,22,0.05111825980392157,1,1,"(360, 360, 3)",0.027846153846153847,0.0,0.4641504803675856
2,3a508d2dc03db46e7f97a2a30eabb62ab2886f3cedfea303de8f6a42e50d20eb,21,0.1355545343137255,1,1,"(256, 256, 3)",0.043404488232074434,0.04327485380116959,0.4265000796305144
3,f29fd9c52e04403cd2c7d43b6fe2479292e53b2f61969d25256d2d2aca7c6a81,199,0.07049632352941179,1,1,"(603, 1272, 3)",0.0,0.0,0.0
4,abd8dde78f8d37b68b28da67459371ed65f0a575523e94bc4ecbc88e6fedf0d0,14,0.4541207774203432,0,0,"(256, 320, 3)",0.05,0.05,0.026666666666666665
5,e4537e7893e631f3ba6ae5b1023e24b233c78249a31c2f5e561f6c4cad88fcf6,21,0.13823529411764707,1,1,"(256, 256, 3)",0.00625,0.039920948616600796,0.4030862481744834
6,573a657d5e5fcb9574a758b0ab34b09c79d7ba374ceb71227c3dc88f009a3f6b,27,0.10145526960784314,1,1,"(256, 256, 3)",0.09334614819737178,0.10061050061050061,0.030131332082551598
7,9facc652efe19f634639585d692a53dd6c2a8e2f0c9baebdfd85b9b41ec58851,23,0.05121017156862745,1,1,"(360, 360, 3)",0.05703846153846154,0.0,0.3783429533429533
8,db45946a4412a2137674ec075b6892ccd682b77826aba618210569bbc65cf2b0,21,0.12941942401960785,1,1,"(256, 256, 3)",0.036261631089217296,0.03268398268398269,0.46312499999999995
9,bb61fc17daf8bdd4e16fdcf50137a8d7762bec486ede9249d92e511fcb693676,37,0.6043758907781862,0,0,"(256, 320, 3)",0.20659223817118555,0.22827485380116957,0.1842298795829031
10,f67e72b7fe0b1e3648ea745ffd395c80705c89b0c0c48227991fe6f5815b2a18,12,0.17534466911764707,1,1,"(256, 256, 3)",0.049707602339181284,0.06868131868131869,0.3581824092660006
11,1e488c42eb1a54a3e8412b1f12cde530f950f238d71078f2ede6a85a02168e1f,10,0.490494771752451,0,0,"(256, 320, 3)",0.1993406593406593,0.2043956043956044,0.11552631578947367
12,6fe2df6de1d962b90146c822bcefc84d0d3d6926fdfbacd3acdc9de830ee5622,206,0.0703125,1,1,"(520, 696, 3)",0.0,0.0,0.28537573464432664
13,76a372bfd3fad3ea30cb163b560e52607a8281f5b042484c3a0fc6d0aa5a7450,63,0.802734375,1,2,"(1024, 1024, 3)",0.0,0.0,0.06750442019792817
